NAME,median_household_income,total_poverty_determined,total_below_poverty,total_education_25plus,bachelors_degree,total_employment_16plus,in_labor_force,unemployed,median_home_value,median_gross_rent,total_occupied_housing,owner_occupied,renter_occupied,total_population,median_age,total_race,white_alone,black_alone,asian_alone,hispanic_or_latino,total_internet_hh,with_internet,state,county,tract,county_name,poverty_rate,unemployment_rate,homeownership_rate,internet_access_rate
Census Tract 1; Fulton County; Georgia,154808,5159,438,4097,1882,4364,2842,60,831500,1707,2458,1545,913,5160,44.8,5160,4439,140,298,90,2458,2443,13,121,000100,Fulton,8.49,2.11,62.86,99.39
Census Tract 24; Fulton County; Georgia,32763,2749,1172,1901,347,2081,1185,196,263600,1077,1068,449,619,2804,36.2,2804,160,2472,0,50,1068,768,13,121,002400,Fulton,42.63,16.54,42.04,71.91
Census Tract 25; Fulton County; Georgia,32042,3073,1319,2187,264,2550,1309,139,-666666666,982,1197,179,1018,3123,38.3,3123,254,2642,43,173,1197,821,13,121,002500,Fulton,42.92,10.62,14.95,68.59
Census Tract 26; Fulton County; Georgia,34688,1048,329,721,203,939,596,29,224400,1160,469,58,411,1071,30.1,1071,57,948,26,7,469,365,13,121,002600,Fulton,31.39,4.87,12.37,77.83
Census Tract 28.01; Fulton County; Georgia,74375,1370,332,1029,536,3945,1491,153,255400,1884,975,99,876,3945,20.7,3945,1446,1745,552,213,975,953,13,121,002801,Fulton,24.23,10.26,10.15,97.74
Census Tract 28.02; Fulton County; Georgia,16658,1107,472,883,232,1691,602,51,-666666666,-666666666,706,15,691,1715,25.5,1715,324,926,367,49,706,453,13,121,002802,Fulton,42.64,8.47,2.12,64.16
Census Tract 29; Fulton County; Georgia,100718,2216,267,1970,695,2166,1834,53,483800,1839,1302,612,690,2350,35.7,2350,1465,515,114,200,1302,1268,13,121,002900,Fulton,12.05,2.89,47.0,97.39
Census Tract 30; Fulton County; Georgia,147067,3926,178,3277,1291,3542,3101,12,728400,2002,2105,986,1119,3974,34.0,3974,2917,268,388,127,2105,2080,13,121,003000,Fulton,4.53,0.39,46.84,98.81
Census Tract 31; Fulton County; Georgia,135247,2700,322,2082,826,2523,2091,181,662000,1764,1473,599,874,2710,32.6,2710,1187,1209,80,144,1473,1434,13,121,003100,Fulton,11.93,8.66,40.67,97.35
Census Tract 32; Fulton County; Georgia,113214,2784,148,2383,1134,2597,2317,95,471900,1780,1658,982,676,2787,32.8,2787,1975,392,41,429,1658,1633,13,121,003200,Fulton,5.32,4.1,59.23,98.49
Census Tract 35; Fulton County; Georgia,53254,2431,1087,2371,383,2877,1660,85,303700,1730,1365,200,1165,2904,38.7,2904,568,2081,213,135,1365,1362,13,121,003500,Fulton,44.71,5.12,14.65,99.78
Census Tract 36; Fulton County; Georgia,77037,1133,285,1058,336,1112,811,33,237800,1327,860,403,457,1133,36.7,1133,251,877,0,0,860,759,13,121,003600,Fulton,25.15,4.07,46.86,88.26
Census Tract 37; Fulton County; Georgia,-666666666,191,55,191,13,191,49,0,-666666666,-666666666,177,0,177,191,68.5,191,14,170,0,0,177,122,13,121,003700,Fulton,28.8,0.0,0.0,68.93
Census Tract 38; Fulton County; Georgia,40640,487,71,385,61,3742,899,205,131300,-666666666,244,20,224,3911,20.0,3911,952,1994,504,411,244,222,13,121,003800,Fulton,14.58,22.8,8.2,90.98
Census Tract 39; Fulton County; Georgia,33438,1510,728,993,164,1349,863,49,167700,1404,681,246,435,1562,32.9,1562,69,1445,21,16,681,563,13,121,003900,Fulton,48.21,5.68,36.12,82.67
Census Tract 40; Fulton County; Georgia,69333,2770,646,2181,410,2319,1655,82,276200,1133,1124,643,481,2770,36.9,2770,670,1864,28,94,1124,933,13,121,004000,Fulton,23.32,4.95,57.21,83.01
Census Tract 41; Fulton County; Georgia,74041,2135,314,1597,342,1768,1155,163,385100,1237,829,543,286,2137,37.4,2137,513,1397,157,237,829,689,13,121,004100,Fulton,14.71,14.11,65.5,83.11
Census Tract 42; Fulton County; Georgia,24464,2253,667,1897,262,2097,965,102,167400,440,1428,299,1129,2274,51.6,2274,200,2065,0,28,1428,923,13,121,004200,Fulton,29.6,10.57,20.94,64.64
Census Tract 43; Fulton County; Georgia,-666666666,943,185,783,254,2293,971,130,310200,993,609,330,279,2447,20.6,2447,588,1510,208,73,609,520,13,121,004300,Fulton,19.62,13.39,54.19,85.39
Census Tract 44; Fulton County; Georgia,29311,3628,1344,1715,129,2359,1397,92,379000,1065,1477,123,1354,3628,22.4,3628,91,3260,0,149,1477,1088,13,121,004400,Fulton,37.05,6.59,8.33,73.66
Census Tract 48; Fulton County; Georgia,17279,1347,564,969,96,1261,731,100,-666666666,-666666666,875,0,875,1347,35.1,1347,225,999,15,18,875,753,13,121,004800,Fulton,41.87,13.68,0.0,86.06
Census Tract 49; Fulton County; Georgia,87449,3082,722,1935,858,2119,1683,33,546400,1636,1287,780,507,3082,32.2,3082,1344,1315,197,102,1287,1262,13,121,004900,Fulton,23.43,1.96,60.61,98.06
Census Tract 50; Fulton County; Georgia,90188,3368,236,2691,1112,3103,2533,55,453200,1833,1844,464,1380,3502,32.0,3502,2052,915,163,253,1844,1679,13,121,005000,Fulton,7.01,2.17,25.16,91.05
Census Tract 52; Fulton County; Georgia,165815,4733,390,3580,1480,3957,3364,30,454200,1814,2183,1727,456,4872,36.1,4872,3468,550,540,447,2183,2043,13,121,005200,Fulton,8.24,0.89,79.11,93.59
Census Tract 53; Fulton County; Georgia,132979,4023,303,2961,1269,3144,2594,145,517400,1655,1741,1518,223,4031,35.6,4031,2505,1054,122,319,1741,1705,13,121,005300,Fulton,7.53,5.59,87.19,97.93
Census Tract 55.01; Fulton County; Georgia,60313,3039,1444,1832,479,2070,1639,78,428000,1069,1043,479,564,3039,30.3,3039,717,2203,7,111,1043,911,13,121,005501,Fulton,47.52,4.76,45.93,87.34
Census Tract 55.03; Fulton County; Georgia,19777,1505,677,701,59,916,560,104,-666666666,813,642,16,626,1505,17.9,1505,0,1484,0,0,642,495,13,121,005503,Fulton,44.98,18.57,2.49,77.1
Census Tract 55.04; Fulton County; Georgia,51534,1344,330,1046,176,1153,771,125,193300,705,567,294,273,1344,40.5,1344,217,1120,0,3,567,490,13,121,005504,Fulton,24.55,16.21,51.85,86.42
Census Tract 57; Fulton County; Georgia,40652,1248,192,935,192,1069,727,19,227500,943,630,130,500,1248,36.7,1248,36,1185,0,0,630,418,13,121,005700,Fulton,15.38,2.61,20.63,66.35
Census Tract 58; Fulton County; Georgia,64917,1208,212,953,189,1038,798,63,350000,1104,568,272,296,1208,37.5,1208,371,428,188,227,568,518,13,121,005800,Fulton,17.55,7.89,47.89,91.2
Census Tract 60; Fulton County; Georgia,58935,3408,653,2347,459,2747,1895,180,352600,1066,1447,813,634,3408,33.3,3408,573,2646,27,143,1447,1140,13,121,006000,Fulton,19.16,9.5,56.19,78.78
Census Tract 61; Fulton County; Georgia,48627,3360,1183,2203,321,2756,1634,257,265100,1421,1455,925,530,3360,35.2,3360,294,2922,0,153,1455,1133,13,121,006100,Fulton,35.21,15.73,63.57,77.87
Census Tract 62; Fulton County; Georgia,60750,1509,184,1064,234,1168,868,60,335900,1044,604,353,251,1509,32.0,1509,163,1098,12,87,604,450,13,121,006200,Fulton,12.19,6.91,58.44,74.5
Census Tract 63; Fulton County; Georgia,40075,1750,683,1212,149,1497,998,183,175600,836,784,279,505,1750,35.5,1750,77,1510,0,53,784,562,13,121,006300,Fulton,39.03,18.34,35.59,71.68
Census Tract 64; Fulton County; Georgia,45781,772,204,660,125,706,598,66,295300,892,382,155,227,772,32.8,772,265,345,0,175,382,275,13,121,006400,Fulton,26.42,11.04,40.58,71.99
Census Tract 65; Fulton County; Georgia,70234,3363,475,2566,592,2809,1921,82,224300,1430,1568,993,575,3420,37.3,3420,719,2350,149,85,1568,1144,13,121,006500,Fulton,14.12,4.27,63.33,72.96
Census Tract 66.01; Fulton County; Georgia,73304,1483,226,1150,318,1339,987,130,272900,1078,739,402,337,1488,35.8,1488,414,988,17,59,739,678,13,121,006601,Fulton,15.24,13.17,54.4,91.75
Census Tract 66.02; Fulton County; Georgia,21346,829,394,580,45,667,417,88,147400,919,358,110,248,829,34.8,829,16,796,0,0,358,284,13,121,006602,Fulton,47.53,21.1,30.73,79.33
Census Tract 67.01; Fulton County; Georgia,27946,2816,771,1368,259,1859,1021,406,270700,1130,900,237,663,2816,22.4,2816,100,2662,0,52,900,722,13,121,006701,Fulton,27.38,39.76,26.33,80.22
Census Tract 67.02; Fulton County; Georgia,55282,1744,281,1261,222,1304,1030,25,212700,1267,823,550,273,1744,39.5,1744,109,1434,12,8,823,668,13,121,006702,Fulton,16.11,2.43,66.83,81.17
Census Tract 68.01; Fulton County; Georgia,-666666666,10,5,1722,0,1758,6,4,-666666666,-666666666,0,0,0,1758,41.4,1758,587,1107,0,280,0,0,13,121,006801,Fulton,50.0,66.67,,
Census Tract 68.02; Fulton County; Georgia,16282,1521,1288,541,24,924,366,7,278400,671,454,107,347,1521,17.6,1521,70,1334,0,23,454,386,13,121,006802,Fulton,84.68,1.91,23.57,85.02
Census Tract 69; Fulton County; Georgia,67425,3592,1057,2783,790,2867,2260,159,400600,1046,1633,918,715,3592,35.8,3592,1479,1453,103,753,1633,1487,13,121,006900,Fulton,29.43,7.04,56.22,91.06
Census Tract 70.01; Fulton County; Georgia,33796,3284,1242,2409,275,2613,1711,208,144800,1162,1344,521,823,3284,35.6,3284,315,2759,8,418,1344,903,13,121,007001,Fulton,37.82,12.16,38.76,67.19
Census Tract 70.02; Fulton County; Georgia,54217,3067,472,1936,393,2256,1555,143,175900,1177,1143,612,531,3067,32.0,3067,74,2846,0,0,1143,1029,13,121,007002,Fulton,15.39,9.2,53.54,90.03
Census Tract 71; Fulton County; Georgia,29016,2387,731,1659,201,1792,981,264,172200,1089,937,411,526,2391,30.9,2391,81,2157,0,126,937,734,13,121,007100,Fulton,30.62,26.91,43.86,78.34
Census Tract 72; Fulton County; Georgia,53125,1833,760,1266,146,1488,683,81,213900,1348,755,544,211,1833,38.7,1833,109,1466,8,200,755,496,13,121,007200,Fulton,41.46,11.86,72.05,65.7
Census Tract 73.01; Fulton County; Georgia,43631,3827,379,2337,169,2805,2210,30,179000,1156,1677,550,1127,3827,31.3,3827,3,3363,0,22,1677,1249,13,121,007301,Fulton,9.9,1.36,32.8,74.48
Census Tract 73.02; Fulton County; Georgia,22500,2445,778,1942,153,2086,930,119,93000,-666666666,1048,303,745,2447,50.2,2447,35,2333,0,0,1048,584,13,121,007302,Fulton,31.82,12.8,28.91,55.73
Census Tract 74; Fulton County; Georgia,29162,2707,863,2329,201,2734,1222,103,161400,712,1045,249,796,3173,44.9,3173,382,2147,19,738,1045,654,13,121,007400,Fulton,31.88,8.43,23.83,62.58
Census Tract 75; Fulton County; Georgia,21926,3059,936,2006,184,2312,1342,134,193100,902,1426,432,994,3072,32.7,3072,315,2602,47,317,1426,1039,13,121,007500,Fulton,30.6,9.99,30.29,72.86
Census Tract 76.02; Fulton County; Georgia,45028,2825,327,1792,303,2088,1191,92,220700,1171,1092,429,663,2828,34.2,2828,149,2631,0,0,1092,908,13,121,007602,Fulton,11.58,7.72,39.29,83.15
Census Tract 76.03; Fulton County; Georgia,22250,3396,1308,2704,142,2884,1602,73,-666666666,875,1927,95,1832,3454,49.1,3454,107,3250,0,24,1927,1316,13,121,007603,Fulton,38.52,4.56,4.93,68.29
Census Tract 76.04; Fulton County; Georgia,27215,3385,1268,1767,218,2438,1444,110,-666666666,1038,1355,95,1260,3385,26.1,3385,204,3088,93,0,1355,985,13,121,007604,Fulton,37.46,7.62,7.01,72.69
Census Tract 77.03; Fulton County; Georgia,56063,3459,678,2370,385,2763,1907,111,202400,1253,1501,863,638,3459,44.6,3459,44,3282,38,41,1501,1424,13,121,007703,Fulton,19.6,5.82,57.5,94.87
Census Tract 77.05; Fulton County; Georgia,35104,4250,557,2936,358,3146,1760,116,160100,1157,2221,566,1655,4250,43.3,4250,14,4236,0,20,2221,1901,13,121,007705,Fulton,13.11,6.59,25.48,85.59
Census Tract 77.07; Fulton County; Georgia,70387,1931,544,1338,438,1543,1001,126,221900,1400,1007,872,135,1931,37.8,1931,67,1726,0,138,1007,1007,13,121,007707,Fulton,28.17,12.59,86.59,100.0
Census Tract 77.08; Fulton County; Georgia,69799,3152,387,2191,159,2580,1864,64,227800,1173,1376,627,749,3152,37.0,3152,61,3088,0,0,1376,1341,13,121,007708,Fulton,12.28,3.43,45.57,97.46
Census Tract 77.09; Fulton County; Georgia,80851,4347,496,2930,1058,3391,2791,207,225400,1406,1901,1082,819,4347,38.3,4347,0,4268,79,0,1901,1687,13,121,007709,Fulton,11.41,7.42,56.92,88.74
Census Tract 77.10; Fulton County; Georgia,52657,2988,471,2220,492,2612,1031,0,367400,1198,1636,299,1337,2988,38.8,2988,0,2988,0,0,1636,1281,13,121,007710,Fulton,15.76,0.0,18.28,78.3
Census Tract 77.11; Fulton County; Georgia,39450,3037,180,2046,281,2539,1146,33,209200,1068,1171,398,773,3037,42.4,3037,63,2974,0,0,1171,939,13,121,007711,Fulton,5.93,2.88,33.99,80.19
Census Tract 78.05; Fulton County; Georgia,58028,4817,755,2975,858,3913,2222,133,215900,1088,1889,458,1431,4895,37.4,4895,448,4347,0,378,1889,1333,13,121,007805,Fulton,15.67,5.99,24.25,70.57
Census Tract 78.06; Fulton County; Georgia,49652,5770,780,3480,770,4847,3214,148,138800,1356,2316,1008,1308,5770,33.3,5770,31,5276,0,178,2316,2189,13,121,007806,Fulton,13.52,4.6,43.52,94.52
Census Tract 78.07; Fulton County; Georgia,39668,3892,550,2189,155,2426,1374,284,113700,1048,989,408,581,3916,31.5,3916,70,3743,0,0,989,745,13,121,007807,Fulton,14.13,20.67,41.25,75.33
Census Tract 78.08; Fulton County; Georgia,15625,3278,2042,1799,28,2204,1252,199,-666666666,863,1180,140,1040,3278,28.8,3278,8,2902,0,368,1180,944,13,121,007808,Fulton,62.29,15.89,11.86,80.0
Census Tract 78.09; Fulton County; Georgia,61958,4979,468,3109,707,3947,2383,358,212900,1781,1625,1279,346,5009,42.0,5009,1,4832,0,38,1625,1503,13,121,007809,Fulton,9.4,15.02,78.71,92.49
Census Tract 78.10; Fulton County; Georgia,53887,4221,968,2862,620,3021,2378,44,237900,1229,2069,616,1453,4239,31.4,4239,64,3792,0,254,2069,1946,13,121,007810,Fulton,22.93,1.85,29.77,94.06
Census Tract 79; Fulton County; Georgia,87911,4900,376,4082,944,4656,2703,19,261800,1357,2331,2023,308,4971,50.2,4971,63,4644,0,31,2331,2158,13,121,007900,Fulton,7.67,0.7,86.79,92.58
Census Tract 80; Fulton County; Georgia,45734,5628,854,4156,907,4448,2864,347,239700,1167,2486,1461,1025,5628,38.5,5628,407,4764,1,85,2486,2245,13,121,008000,Fulton,15.17,12.12,58.77,90.31
Census Tract 81.03; Fulton County; Georgia,32908,3498,1129,2718,349,2784,1494,107,265300,838,1509,138,1371,3498,49.1,3498,0,2909,0,486,1509,1028,13,121,008103,Fulton,32.28,7.16,9.15,68.12
Census Tract 81.04; Fulton County; Georgia,49167,3215,1172,2522,419,2916,1188,110,170400,1022,1582,817,765,3215,48.9,3215,76,3115,0,47,1582,1284,13,121,008104,Fulton,36.45,9.26,51.64,81.16
Census Tract 82.02; Fulton County; Georgia,-666666666,2256,1076,1401,155,1706,778,61,95700,1143,879,445,434,2284,33.3,2284,25,2218,0,27,879,753,13,121,008202,Fulton,47.7,7.84,50.63,85.67
Census Tract 82.03; Fulton County; Georgia,22088,2446,825,1784,494,1914,974,0,231200,-666666666,1225,398,827,2535,45.7,2535,82,2453,0,0,1225,662,13,121,008203,Fulton,33.73,0.0,32.49,54.04
Census Tract 82.04; Fulton County; Georgia,47771,2762,865,2006,393,2453,1321,62,142900,977,1332,937,395,2763,40.7,2763,16,2591,14,0,1332,1118,13,121,008204,Fulton,31.32,4.69,70.35,83.93
Census Tract 83.01; Fulton County; Georgia,31543,2997,1325,1797,94,2104,1169,235,157700,1105,1124,492,632,2997,31.9,2997,391,2367,0,363,1124,770,13,121,008301,Fulton,44.21,20.1,43.77,68.51
Census Tract 83.02; Fulton County; Georgia,-666666666,1536,614,1181,151,1418,487,42,181500,1050,609,296,313,1831,43.5,1831,60,1750,0,19,609,429,13,121,008302,Fulton,39.97,8.62,48.6,70.44
Census Tract 84; Fulton County; Georgia,-666666666,2764,1321,2138,823,2361,1102,104,141300,665,1633,1063,570,2805,49.7,2805,243,2490,8,0,1633,1452,13,121,008400,Fulton,47.79,9.44,65.09,88.92
Census Tract 85; Fulton County; Georgia,47566,2258,767,1388,383,1850,909,36,308500,1418,848,355,493,2258,32.3,2258,123,2009,29,92,848,559,13,121,008500,Fulton,33.97,3.96,41.86,65.92
Census Tract 86.01; Fulton County; Georgia,32768,5437,1647,3150,471,4050,1850,308,161100,1036,2152,616,1536,5555,28.8,5555,177,5361,15,54,2152,1657,13,121,008601,Fulton,30.29,16.65,28.62,77.0
Census Tract 86.02; Fulton County; Georgia,40060,1298,335,771,136,997,644,37,170600,1240,527,250,277,1298,30.4,1298,85,1056,0,124,527,406,13,121,008602,Fulton,25.81,5.75,47.44,77.04
Census Tract 87.01; Fulton County; Georgia,47228,3833,967,2478,221,2768,1553,191,141800,1326,1381,375,1006,3833,36.4,3833,635,2945,0,642,1381,1111,13,121,008701,Fulton,25.23,12.3,27.15,80.45
Census Tract 87.02; Fulton County; Georgia,77627,2226,244,1907,500,2064,1522,119,463800,1195,1092,433,659,2290,33.2,2290,620,1422,12,266,1092,1067,13,121,008702,Fulton,10.96,7.82,39.65,97.71
Census Tract 88.01; Fulton County; Georgia,111157,1818,63,1322,796,1475,1214,58,474600,1229,755,550,205,1818,34.0,1818,945,450,168,47,755,661,13,121,008801,Fulton,3.47,4.78,72.85,87.55
Census Tract 88.02; Fulton County; Georgia,198611,2815,216,2011,940,2179,1799,14,535900,1304,1194,937,257,2815,34.1,2815,1886,612,43,154,1194,1167,13,121,008802,Fulton,7.67,0.78,78.48,97.74
Census Tract 89.03; Fulton County; Georgia,90492,2869,610,1971,919,2351,1987,91,328000,1798,1347,541,806,2869,30.9,2869,782,1390,179,583,1347,1294,13,121,008903,Fulton,21.26,4.58,40.16,96.07
Census Tract 89.05; Fulton County; Georgia,121589,5268,91,4388,1851,4748,4388,0,529900,1879,3204,940,2264,5268,29.9,5268,3583,909,533,184,3204,3204,13,121,008905,Fulton,1.73,0.0,29.34,100.0
Census Tract 89.06; Fulton County; Georgia,200236,2432,0,1779,792,1971,1281,5,545600,-666666666,911,911,0,2432,44.9,2432,2008,152,108,79,911,892,13,121,008906,Fulton,0.0,0.39,100.0,97.91
Census Tract 89.07; Fulton County; Georgia,86111,2858,163,1912,1016,2544,1897,96,247600,1967,1598,810,788,2858,29.9,2858,1889,795,89,35,1598,1585,13,121,008907,Fulton,5.7,5.06,50.69,99.19
Census Tract 89.08; Fulton County; Georgia,48952,2876,577,2024,992,2696,2134,14,488900,1611,1199,124,1075,2876,25.6,2876,606,2187,31,139,1199,1199,13,121,008908,Fulton,20.06,0.66,10.34,100.0
Census Tract 89.09; Fulton County; Georgia,128585,1635,49,1218,433,1228,1133,7,232300,1707,796,711,85,1635,35.7,1635,1283,271,0,0,796,796,13,121,008909,Fulton,3.0,0.62,89.32,100.0
Census Tract 90.01; Fulton County; Georgia,80992,2264,63,1607,963,1989,1883,38,840100,1790,1382,270,1112,2264,27.7,2264,1482,425,236,66,1382,1382,13,121,009001,Fulton,2.78,2.02,19.54,100.0
Census Tract 90.02; Fulton County; Georgia,250001,2776,25,1745,811,2015,1503,0,895900,-666666666,936,891,45,2776,34.0,2776,2564,0,77,147,936,936,13,121,009002,Fulton,0.9,0.0,95.19,100.0
Census Tract 91.03; Fulton County; Georgia,92522,3767,638,2754,1470,3457,2865,204,554300,1762,2249,985,1264,3774,29.3,3774,2456,808,389,85,2249,2130,13,121,009103,Fulton,16.94,7.12,43.8,94.71
Census Tract 91.04; Fulton County; Georgia,94306,2809,352,2582,1172,2686,2131,43,336200,2077,1792,937,855,2809,35.6,2809,2158,430,181,205,1792,1627,13,121,009104,Fulton,12.53,2.02,52.29,90.79
Census Tract 91.05; Fulton County; Georgia,250001,1169,0,794,358,895,621,0,1218300,1708,435,348,87,1169,41.3,1169,1113,38,18,54,435,435,13,121,009105,Fulton,0.0,0.0,80.0,100.0
Census Tract 91.06; Fulton County; Georgia,96274,2331,344,1884,882,2356,1873,18,272500,1612,1447,544,903,2500,30.2,2500,1212,439,462,50,1447,1386,13,121,009106,Fulton,14.76,0.96,37.6,95.78
